;features;attribute_group;attribute;globus_attr_group_to_use;attribute_group_eng;attribute_eng;show
80;material-CMD;material;CMD;;;;N
81;material-CO;material;CO;;;;N
82;material-CV;material;CV;;;;N
83;material-EL;material;EL;;;;N
84;material-L1;material;L1;;;;N
85;material-L18;material;L18;;;;N
86;material-L2;material;L2;;;;N
87;material-LI;material;LI;;;;N
88;material-MER;material;MER;;;;N
89;material-PA;material;PA;;;;N
90;material-PES;material;PES;;;;N
91;material-PU;material;PU;;;;N
92;material-SE;material;SE;;;;N
93;material-WO;material;WO;;;;N
94;musterung-aufdruck;musterung;aufdruck;['globus:pim.damenfashion.musterung'];pattern;printed pattern;Y
95;musterung-grafischemmuster;musterung;grafischemmuster;['globus:pim.damenfashion.musterung'];pattern;graphic pattern;Y
96;musterung-karomuster;musterung;karomuster;['globus:pim.damenfashion.musterung'];pattern;check pattern;Y
97;musterung-organischemmuster;musterung;organischemmuster;['globus:pim.damenfashion.musterung'];pattern;organic patter;Y
98;musterung-streifenmuster;musterung;streifenmuster;['globus:pim.damenfashion.musterung'];pattern;striped;Y
99;musterung-unifarben;musterung;unifarben;;pattern;plain;Y
100;nassReinigen-0;nassReinigen;0;;;;N
101;navabsatzhohe-bis3cmabsatzhohe;navabsatzhohe;bis3cmabsatzhohe;['globus:pim.accessoires.navabsatzhohe'];height of heels;up to 3cm;Y
102;navabsatzhohe-uber6cmabsatzhohe;navabsatzhohe;uber6cmabsatzhohe;['globus:pim.accessoires.navabsatzhohe'];height of heels;over 6cm;Y
103;navabsatzhohe-von3cm6cmabsatzhohe;navabsatzhohe;von3cm6cmabsatzhohe;['globus:pim.accessoires.navabsatzhohe'];height of heels;3-6 cm;Y
104;navblusentuniken-blusen;navblusentuniken;blusen;['globus:pim.damenfashion.navblusentuniken'];blouse type;blouse ;Y
105;navblusentuniken-schlupfblusen;navblusentuniken;schlupfblusen;['globus:pim.damenfashion.navblusentuniken'];blouse type;slip-over blouse;Y
106;navdamenaccessoires-schalsundtucher;navdamenaccessoires;schalsundtucher;['globus:pim.accessoires.navdamenaccessoires'];accessories;scarf;Y
107;navdamenschuhe-sandalensandaletten;navdamenschuhe;sandalensandaletten;['globus:pim.accessoires.navdamenschuhe'];type of shoes;sandal;Y
108;navdamenschuhe-sneakers;navdamenschuhe;sneakers;['globus:pim.accessoires.navdamenschuhe'];type of shoes;sneakers;Y
109;navdamenschuhe-stiefelstiefeletten;navdamenschuhe;stiefelstiefeletten;['globus:pim.accessoires.navdamenschuhe'];type of shoes;boots;Y
110;navdamentaschen-clutchabendtaschen;navdamentaschen;clutchabendtaschen;['globus:pim.accessoires.navdamentaschen'];type of bag;clutch;Y
111;navdamentaschen-handtaschen;navdamentaschen;handtaschen;['globus:pim.accessoires.navdamentaschen'];type of bag;handbag;Y
112;navdamentaschen-umhangeschultertaschen;navdamentaschen;umhangeschultertaschen;['globus:pim.accessoires.navdamentaschen'];type of bag;shoulder bag;Y
113;navhosen-chinos;navhosen;chinos;['globus:pim.damenfashion.navhosen'];trouser type;chino;Y
